store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard,weekly_order_value,weekly_order_cbm,monday,monday_cbm,tuesday,tuesday_cbm,wednesday,wednesday_cbm,thursday,thursday_cbm,friday,friday_cbm,has_orders,weekly_verified,has_any_constraint,has_day_constraint,excluded_days_str,exclude_holidays,has_time_constraint,time_constraint,has_fleet_constraint,max_tonnage,delivery_remark,specific_constraint,has_coordinates,has_fulfilment_dc,data_complete
EP01,5.289316,100.247933,NDC,NDC,9785.747368366669,5.318340961068841,0.0,0.0,3522.8690526120004,1.9146027459847828,782.8597894693335,0.4254672768855073,2348.579368408,1.2764018306565217,1174.289684204,0.6382009153282608,True,False,False,False,,False,False,,False,,,,True,True,True
EP02,5.364956,100.446605,NDC,NDC,24389.29663675556,13.255052519975848,4877.859327351112,2.65101050399517,2926.715596410668,1.5906063023971018,6829.003058291557,3.7114147055932376,0.0,0.0,4877.859327351112,2.65101050399517,True,False,False,False,,False,False,,False,,,,True,True,True
EP03,5.478669869,100.2526152,NDC,NDC,16900.45218123889,9.18502835936896,3380.0904362477777,1.837005671873792,2028.0542617486667,1.1022034031242751,4732.126610746889,2.571807940623309,0.0,0.0,3380.0904362477777,1.837005671873792,True,False,False,False,,False,False,,False,,,,True,True,True
EP04,5.411440649,100.4111246,NDC,NDC,7106.085088122221,3.862002765283816,1989.7038246742216,1.0813607742794684,0.0,0.0,2273.947228199111,1.2358408848908211,568.4868070497778,0.3089602212227053,852.7302105746666,0.4634403318340579,True,False,False,False,,False,False,,False,,,,True,True,True
EP05,5.464633,100.280271,NDC,NDC,9411.11105682222,5.114734270012077,2635.111095910222,1.4321255956033816,0.0,0.0,3011.555538183111,1.6367149664038647,752.8888845457777,0.4091787416009662,1129.3333268186666,0.6137681124014492,True,False,False,False,,False,False,,False,,,,True,True,True
EP06,5.538916,100.466563,NDC,NDC,13634.9001516,7.410271821521739,2726.9800303200004,1.482054364304348,1636.188018192,0.8892326185826087,3817.772042448,2.074876110026087,0.0,0.0,2726.9800303200004,1.482054364304348,True,False,False,False,,False,False,,False,,,,True,True,True
EP07,5.352108,100.299639,NDC,NDC,22337.086735094443,12.139721051681764,4467.417347018889,2.427944210336353,2680.450408211333,1.4567665262018117,6254.384285826443,3.399121894470893,0.0,0.0,4467.417347018889,2.427944210336353,True,False,False,False,,False,False,,False,,,,True,True,True
ER01,6.439359,100.209676,NDC,NDC,17362.938903916664,9.436379839085143,4861.622893096665,2.64218635494384,0.0,0.0,5556.140449253333,3.0196415485072463,1389.0351123133332,0.7549103871268116,2083.5526684699994,1.132365580690217,True,False,False,False,,False,False,,False,,,,True,True,True
ER02,6.354949,100.187105,NDC,NDC,11824.039743677777,6.426108556346618,0.0,0.0,4256.654307724,2.313399080284783,945.9231794942222,0.5140886845077294,2837.7695384826666,1.5422660535231885,1418.8847692413333,0.7711330267615942,True,False,False,False,,False,False,,False,,,,True,True,True
P001,5.114111,100.486194,NDC,NDC,32851.99883419999,17.854347192499997,9198.559673575995,4.999217213899999,0.0,0.0,10512.639626944,5.713391101599999,2628.159906736,1.4283477753999998,3942.239860103999,2.1425216631,True,False,False,False,,False,False,,False,,,,True,True,True
P002,5.348083,100.472778,NDC,NDC,34585.64082458332,18.79654392640398,9683.97943088333,5.263032299393114,0.0,0.0,11067.405063866663,6.0148940564492746,2766.8512659666662,1.5037235141123186,4150.276898949999,2.255585271168478,True,False,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,,True,True,True
P003,5.43163,100.38443,NDC,NDC,11735.770643061109,6.378136219054951,2347.154128612222,1.27562724381099,1408.2924771673331,0.7653763462865941,3286.0157800571105,1.785878141335386,0.0,0.0,2347.154128612222,1.27562724381099,True,False,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,,True,True,True
P005,4.85,100.741222,NDC,NDC,22833.87400385,12.409714132527174,0.0,0.0,8220.194641386,4.467497087709783,1826.709920308,0.992777130602174,5480.129760924,2.9783313918065217,2740.064880462,1.4891656959032609,True,False,False,False,,False,False,,False,,,,True,True,True
P007,5.405529,100.405019,NDC,NDC,27158.41970306111,14.760010708185384,7604.357516857111,4.132802998291908,0.0,0.0,8690.694304979557,4.723203426619325,2172.6735762448893,1.1808008566548311,3259.0103643673333,1.7712012849822465,True,False,True,True,Sunday,True,False,,False,,Bazaar Ramadhan everyday from 2.30pm till night. No receiving on Sunday & PH,,True,True,True
P011,6.079415,100.368312,NDC,NDC,34769.29154840556,18.896354102394326,0.0,0.0,12516.944957426003,6.802687476861959,2781.5433238724454,1.5117083281915464,8344.629971617336,4.535124984574639,4172.314985808668,2.26756249228732,True,False,False,False,,False,False,,False,,,,True,True,True
P012,5.315785,100.475715,NDC,NDC,46215.15911386109,25.11693430101146,9243.031822772218,5.023386860202293,5545.819093663331,3.0140321161213754,12940.244551881106,7.03274160428321,0.0,0.0,9243.031822772218,5.023386860202293,True,False,True,True,"Saturday,Sunday",True,False,,False,,No receiving on weekends & PH,,True,True,True
P014,5.395152,100.289569,NDC,NDC,45202.10891711667,24.566363541911237,12656.590496792667,6.8785817917351455,0.0,0.0,14464.674853477334,7.861236333411594,3616.1687133693335,1.9653090833528983,5424.253070054001,2.9479636250293484,True,False,False,False,,False,False,,False,,,,True,True,True
P015,5.66,100.501333,NDC,NDC,24437.813830227773,13.2814205599064,0.0,0.0,8797.612978882,4.781311401566304,1955.025106418222,1.062513644792512,5865.075319254665,3.187540934377536,2932.5376596273327,1.5937704671887678,True,False,True,True,"Saturday,Sunday",True,False,,False,,No receiving on Saturday & PH,,True,True,True
P017,5.320722,100.478056,NDC,NDC,30717.20033250556,16.694130615492153,0.0,0.0,11058.192119702002,6.009887021577175,2457.376026600445,1.3355304492393725,7372.128079801334,4.006591347718117,3686.064039900667,2.0032956738590584,True,False,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,,True,True,True
P018,4.872722,100.728528,NDC,NDC,46980.34473657778,25.532796052487924,13154.49652624178,7.14918289469662,0.0,0.0,15033.710315704891,8.170494736796137,3758.427578926223,2.042623684199034,5637.641368389334,3.0639355262985517,True,False,False,False,,False,False,,False,,,,True,True,True
P020,5.378773,100.314323,NDC,NDC,34208.61554362778,18.5916388824064,6841.723108725556,3.718327776481281,4105.033865235334,2.2309966658887683,9578.412352215775,5.205658887073792,0.0,0.0,6841.723108725556,3.718327776481281,True,False,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,,True,True,True
P021,6.128778,100.342778,NDC,NDC,52999.85903434444,28.80427121431763,0.0,0.0,19079.949252364,10.369537637154348,4239.988722747556,2.3043416971454107,12719.966168242663,6.913025091436231,6359.9830841213325,3.456512545718116,True,False,False,False,,False,False,,False,,,,True,True,True
