store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard
ZM83,1.804543,109.776863,DC KLANG,DC_KLANG
ZM84,4.427813,114.004473,DC KLANG,DC_KLANG
ZM85,1.495266,110.303309,DC KLANG,DC_KLANG
ZM86,1.557736,110.256822,DC KLANG,DC_KLANG
ZM87,1.085188,111.186556,DC KLANG,DC_KLANG
ZM88,1.42968,110.32649,DC KLANG,DC_KLANG
ZM89,1.578466,110.369602,DC KLANG,DC_KLANG
ZM90,1.551082,110.38917,DC KLANG,DC_KLANG
ZM91,1.407911,110.336624,DC KLANG,DC_KLANG
ZM92,3.180653,113.049895,DC KLANG,DC_KLANG
ZM93,1.360144,110.318591,DC KLANG,DC_KLANG
ZM94,1.219203,111.467574,DC KLANG,DC_KLANG
C001,5.331306,103.142944,EDC,EDC
C002,6.109722,102.254917,EDC,EDC
C003,5.349917,103.100667,EDC,EDC
C005,5.737028,102.496028,EDC,EDC
C006,6.100667,102.279472,EDC,EDC
C007,6.117611,102.239667,EDC,EDC
C008,5.835611,102.40675,EDC,EDC
C009,5.317944,103.1135,EDC,EDC
C010,5.611241,102.191646,EDC,EDC
C011,5.207127,103.206906,EDC,EDC
C012,4.221889,103.418667,EDC,EDC
C013,4.755472,103.412,EDC,EDC
C014,6.111083,102.230833,EDC,EDC
C015,5.410667,103.073111,EDC,EDC
C016,4.863333,101.961,EDC,EDC
C017,5.521116,102.747692,EDC,EDC
C018,4.600636,103.444629,EDC,EDC
C019,4.492463,103.441019,EDC,EDC
C020,5.135379,103.085673,EDC,EDC
C021,6.127611,102.24175,EDC,EDC
C023,6.075639,102.234167,EDC,EDC
C025,6.164278,102.28,EDC,EDC
C026,4.386833,103.452889,EDC,EDC
C027,5.806,102.147694,EDC,EDC
C028,6.192417,102.168917,EDC,EDC
C029,6.114694,102.231833,EDC,EDC
C030,5.282167,103.154167,EDC,EDC
C031,5.331794,103.134463,EDC,EDC
C032,6.031111,102.130028,EDC,EDC
C033,4.255968,103.405365,EDC,EDC
C034,5.072306,103.047917,EDC,EDC
C035,5.733528,102.496,EDC,EDC
C036,5.074028,103.020833,EDC,EDC
C037,4.193667,103.410139,EDC,EDC
C038,5.546985,102.201969,EDC,EDC
C039,6.1205241,102.243256,EDC,EDC
C040,6.125111,102.236583,EDC,EDC
C041,6.057704,102.281742,EDC,EDC
C042,5.331253,103.137828,EDC,EDC
C043,5.226963,103.106585,EDC,EDC
C044,6.099875,102.240358,EDC,EDC
C045,5.347152,103.091311,EDC,EDC
