store_id,has_time_constraint,constraints_json,original_constraint
ZH53,False,[],
ZH54,False,[],
ZH55,False,[],
ZH56,False,[],
ZH57,False,[],
ZH58,False,[],
ZH59,False,[],
ZH60,False,[],
ZH61,False,[],
ZH62,False,[],
ZH63,False,[],
ZH64,False,[],
ZH65,False,[],
ZH66,False,[],
ZH68,False,[],
ZH69,False,[],
ZH70,False,[],
ZH71,False,[],
ZH72,False,[],
ZH73,False,[],
ZH74,False,[],
ZH75,False,[],
ZH76,False,[],
ZH77,False,[],
ZH78,False,[],
ZH79,False,[],
ZH80,False,[],
ZH81,False,[],
ZH82,True,"[{""type"": ""cutoff"", ""day"": ""Friday"", ""start_time"": null, ""end_time"": ""10:00"", ""cutoff_time"": null, ""direction"": ""after""}, {""type"": ""cutoff"", ""day"": ""Saturday"", ""start_time"": null, ""end_time"": ""10:00"", ""cutoff_time"": null, ""direction"": ""after""}]","No unloading at store: Friday - after 10:00am, Saturday - after 10:00am"
ZH83,False,[],
ZH84,False,[],
ZH85,False,[],
ZH86,False,[],
ZH87,False,[],
ZH88,False,[],
ZH89,False,[],
ZH90,False,[],
ZH91,False,[],
ZH92,False,[],
ZH93,False,[],
ZH94,False,[],
ZH95,False,[],
ZH96,False,[],
ZI01,False,[],
ZI02,False,[],
ZI03,False,[],
ZI05,False,[],
ZI06,False,[],
ZI07,False,[],
ZI08,False,[],
ZI09,False,[],
ZI10,False,[],
ZI11,False,[],
ZI12,False,[],
ZI13,False,[],
ZI14,False,[],
ZI15,False,[],
ZI16,False,[],
ZI17,False,[],
ZI18,False,[],
ZI19,False,[],
ZI20,False,[],
ZI21,False,[],
ZI22,False,[],
ZI23,False,[],
ZI24,False,[],
ZI25,False,[],
ZI26,False,[],
ZI27,False,[],
ZI28,False,[],
ZI29,False,[],
ZI30,False,[],
ZI31,False,[],
ZI32,False,[],
ZI33,False,[],
ZI34,False,[],
ZI35,False,[],
ZI36,False,[],
ZI37,False,[],
ZI38,False,[],
ZI39,False,[],
ZI40,False,[],
ZI41,False,[],
ZI42,False,[],
ZI43,False,[],
ZI44,False,[],
ZI45,False,[],
ZI46,False,[],
ZI47,False,[],
ZI48,False,[],
ZI49,False,[],
ZI50,False,[],
ZI51,False,[],
ZI52,False,[],
ZI53,False,[],
ZI54,False,[],
ZI55,False,[],
ZI56,False,[],
ZI57,False,[],
ZI58,False,[],
ZI59,False,[],
ZI60,False,[],
ZI61,False,[],
ZI62,False,[],
ZI63,False,[],
ZI64,False,[],
ZI65,False,[],
ZI66,False,[],
ZI67,False,[],
ZI68,False,[],
ZI69,False,[],
ZI70,False,[],
ZI71,True,"[{""type"": ""cutoff"", ""day"": ""Wednesday"", ""start_time"": null, ""end_time"": null, ""cutoff_time"": ""12:00"", ""direction"": ""before""}]","No unloading at store: Wednesday - before 12:00pm, Saturday - after 1pm"
ZI72,False,[],
ZI73,False,[],
ZI74,False,[],
ZI75,False,[],
ZI76,False,[],
ZI77,False,[],
ZI78,False,[],
ZI79,False,[],
ZI82,False,[],
ZI83,False,[],
ZI84,False,[],
ZI85,False,[],
ZI86,False,[],
ZI87,False,[],
