vehicle_id,plate_no,owning_dc,purpose,capacity_ton,cbm,length_m,width_m,height_m,vehicle_type,cbm_verified
WYG8783,WYG8783,HQ,INTER_DC,18 TAN,51.089544000000004,7.71,2.5100000000000002,2.64,LORI RIGID -LUTON/KOTAK,True
VGD9930,VGD9930,HQ,INTER_DC,19 TAN,51.975,8.25,2.5,2.52,LORI RIGID -CURTANSIDER,True
VK1035,VK1035,HQ,INTER_DC,18 TAN,56.11368,8.4,2.54,2.63,LORI RIGID -LUTON/KOTAK,True
VAR8674,VAR8674,HQ,INTER_DC,18 TAN,58.9625,8.9,2.5,2.65,LORI RIGID -LUTON/KOTAK,True
VGH9965,VGH9965,HQ,INTER_DC,19 TAN,58.9875,8.25,2.6,2.75,LORI RIGID -CURTANSIDER,True
VKQ8813,VKQ8813,HQ,INTER_DC,25 TAN,59.563,9.38,2.54,2.5,LORI RIGID -CURTANSIDER,True
VAR8684,VAR8684,HQ,INTER_DC,18 TAN,60.075,8.9,2.5,2.7,LORI RIGID -LUTON/KOTAK,True
VHJ9978,VHJ9978,HQ,INTER_DC,25 TAN,60.3125,9.65,2.5,2.5,LORI RIGID -CURTANSIDER,True
VHJ9909,VHJ9909,HQ,INTER_DC,25 TAN,61.201980000000006,9.72,2.45,2.57,LORI RIGID -CURTANSIDER,True
VEC9680,VEC9680,HQ,INTER_DC,25 TAN,61.518750000000004,9.65,2.5,2.5500000000000003,LORI RIGID -LUTON/KOTAK,True
VFG9937,VFG9937,HQ,INTER_DC,25 TAN,62.400000000000006,9.6,2.5,2.6,LORI RIGID -CURTANSIDER,True
VKQ8867,VKQ8867,HQ,INTER_DC,25 TAN,62.775000000000006,9.3,2.5,2.7,LORI RIGID -CURTANSIDER,True
VHV8806,VHV8806,HQ,INTER_DC,25 TAN,63.25632000000001,9.69,2.5500000000000003,2.56,LORI RIGID -CURTANSIDER,True
VFY9950,VFY9950,HQ,INTER_DC,25 TAN,65.7744,9.65,2.4,2.84,LORI RIGID -CURTANSIDER,True
VGB9925,VGB9925,HQ,INTER_DC,25 TAN,66.68100000000001,9.56,2.5,2.79,LORI RIGID -CURTANSIDER,True
VFG9921,VFG9921,HQ,INTER_DC,25 TAN,67.09054400000001,9.64,2.54,2.74,LORI RIGID -CURTANSIDER,True
VCT9755,VCT9755,HQ,INTER_DC,25 TAN,69.06942000000001,9.55,2.52,2.87,LORI RIGID -LUTON/KOTAK,True
VHA9928,VHA9928,HQ,INTER_DC,25 TAN,71.972945416,9.788,2.614,2.813,LORI RIGID -CURTANSIDER,True
JVS9959,JVS9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
MDL9959,MDL9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
KFH9959,KFH9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
